Date,ISIN No,Security Description,Type,Year Of Maturity,Maturity Date,Trades,Total Volume,High Price (`),Low Price (`),Last Traded Price (`),Last Traded YTM (%),WtdAvgPrice,WtdAvgYield,Platform
05-03-2026,IN1920200475,6.54% KARNATAKA SDL 2030,SDL,2030,09-12-2030,1,3.47,98.65,98.65,98.65,6.87,98.65,6.87,NDS-OM
05-03-2026,IN2220230055,7.33% MAHARASHTRA SGS 2031,SDL,2031,31-05-2031,1,3,101.41,101.41,101.41,7,101.41,7,NDS-OM
05-03-2026,IN3120200115,6.6% TAMILNADU SDL 2030,SDL,2030,10-06-2030,1,2.81,99,99,99,6.87,99,6.87,NDS-OM
05-03-2026,IN3320200196,6.56% UTTARPRADESH SDL 2030,SDL,2030,16-12-2030,1,2.37,98.72,98.72,98.72,6.88,98.72,6.88,NDS-OM
05-03-2026,IN002025Y412,17/07/2026 MATURING 182 DTB,TB,2026,17-07-2026,1,2,98.12,98.12,98.12,5.26,98.12,5.26,NDS-OM
05-03-2026,IN1520210080,6.98% GUJARAT SDL 2031,SDL,2031,11-08-2031,2,2,99.65,99.35,99.65,7.06,99.5,7.09,NDS-OM
05-03-2026,IN2020160148,7.77% KERALA SDL 2027,SDL,2027,01-03-2027,1,1.66,101.77,101.77,101.77,5.9,101.77,5.9,NDS-OM
05-03-2026,IN1520220246,7.66% GUJARAT SGS 2030,SDL,2030,22-02-2030,1,1.61,102.49,102.49,102.49,6.93,102.49,6.93,NDS-OM
05-03-2026,IN1320160139,7.29% BIHAR SDL 2026,SDL,2026,28-12-2026,1,1.59,101.07,101.07,101.07,5.9,101.07,5.9,NDS-OM
05-03-2026,IN3520160026,7.8% CHATTISGARH SDL 2027,SDL,2027,01-03-2027,1,1.55,101.79,101.79,101.79,5.9,101.79,5.9,NDS-OM
05-03-2026,IN1020250339,7.5% ANDHRA SGS 2046,SDL,2046,01-10-2046,1,1.28,99.95,99.95,99.95,7.5,99.95,7.5,NDS-OM
05-03-2026,IN3320200022,7.0% UTTARPRADESH SDL 2030,SDL,2030,22-04-2030,1,1.18,100.51,100.51,100.51,6.85,100.51,6.85,NDS-OM
05-03-2026,IN3420160159,7.63% WESTBENGAL SDL 2027,SDL,2027,15-02-2027,1,1,101.56,101.56,101.56,5.9,101.56,5.9,NDS-OM
05-03-2026,IN1520200263,6.93% GUJARAT SDL 2031,SDL,2031,17-02-2031,2,1,99.45,99.15,99.45,7.06,99.3,7.1,NDS-OM
05-03-2026,IN1620170150,8.29% HARYANA SDL 2028,SDL,2028,14-03-2028,1,0.6,103.48,103.48,103.48,6.43,103.48,6.43,NDS-OM
05-03-2026,IN1220250204,7.76% ASSAM SGS 2046,SDL,2046,18-02-2046,1,0.56,101,101,101,7.66,101,7.66,NDS-OM
05-03-2026,IN2820250172,7.71% PUNJAB SGS 2038,SDL,2038,04-02-2038,1,0.5,100.98,100.98,100.98,7.58,100.98,7.58,NDS-OM
05-03-2026,IN2120250237,7.46% MADHYAPRADESH SGS 2043,SDL,2043,12-11-2043,1,0.5,99.46,99.46,99.46,7.51,99.46,7.51,NDS-OM
05-03-2026,IN1920170157,8.0% KARNATAKA SDL 2028,SDL,2028,17-01-2028,1,0.5,102.72,102.72,102.72,6.42,102.72,6.42,NDS-OM
05-03-2026,IN1220250089,7.02% ASSAM SGS 2035,SDL,2035,06-08-2035,2,0.34,97.88,97.85,97.88,7.33,97.87,7.34,NDS-OM
05-03-2026,IN002025Y461,21/08/2026 MATURING 182 DTB,TB,2026,21-08-2026,1,0.25,97.57,97.57,97.57,5.4,97.57,5.4,NDS-OM
05-03-2026,IN2220240427,7.12% MAHARASHTRA SGS 2038,SDL,2038,05-02-2038,1,0.2,96.93,96.93,96.93,7.51,96.93,7.51,NDS-OM
05-03-2026,IN000629C054,GS15JUN2029C,GS,2029,15-06-2029,1,0.16,80.46,80.46,80.46,6.75,80.46,6.75,NDS-OM
05-03-2026,IN002025Z336,12/11/2026 MATURING 364 DTB,TB,2026,12-11-2026,1,0.1,96.29,96.29,96.29,5.6,96.29,5.6,NDS-OM
05-03-2026,IN0020230044,7.25% GS 2063,GS,2063,12-06-2063,1,0.01,97.5,97.5,97.5,7.45,97.5,7.45,NDS-OM
05-03-2026,IN0020220094,7.40% GS 2062,GS,2062,19-09-2062,1,0.01,99.2,99.2,99.2,7.46,99.2,7.46,NDS-OM
05-03-2026,IN002025Y370,11/06/2026 MATURING 182 DTB,TB,2026,11-06-2026,1,0,98.56,98.56,98.56,5.5,98.56,5.5,NDS-OM
05-03-2026,IN4520220018,8.02% TELANGANA SDL 2035,SDL,2035,08-06-2035,1,0,102,102,102,7.71,102,7.71,NDS-OM
05-03-2026,IN1020220175,8.03% ANDHRA SDL 2035,SDL,2035,08-06-2035,1,0,102,102,102,7.72,102,7.72,NDS-OM
